1	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
4	5	30	1	1	15	15	40	0.06966	26.24382	31.67	1
6	5	30	1	1	15	15	40	0.06966	26.24382	31.67	1
8	5	30	1	1	15	15	40	0.06966	26.24382	31.67	1
10	150	300	8	8	150	150	440	0.01088	12.8875	6.78	1
12	100	300	8	8	150	150	110	0.01088	12.8875	6.78	1
15	10	30	1	1	15	15	40	0.06966	26.24382	31.67	1
18	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
19	5	30	1	1	15	15	40	0.06966	26.24382	31.67	1
24	5	30	1	1	15	15	40	0.06966	26.24382	31.67	1
25	100	300	8	8	150	150	100	0.01088	12.8875	6.78	1
26	100	350	8	8	175	175	100	0.003	10.76	32.96	1
27	8	30	1	1	15	15	40	0.06966	26.24382	31.67	1
31	8	30	1	1	15	15	40	0.06966	26.24382	31.67	1
32	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
34	8	30	1	1	15	15	40	0.06966	26.24382	31.67	1
36	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
40	8	30	1	1	15	15	40	0.06966	26.24382	31.67	1
42	8	30	1	1	15	15	40	0.06966	26.24382	31.67	1
46	25	100	5	5	50	50	59	0.0128	17.82	10.15	1
49	50	250	8	8	125	125	100	0.0024	12.3299	28	1
54	50	250	8	8	125	125	100	0.0024	12.3299	28	1
55	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
56	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
59	50	200	8	8	100	100	100	0.0044	13.29	39	1
61	50	200	8	8	100	100	100	0.0044	13.29	39	1
62	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
65	100	420	10	10	210	210	250	0.01059	8.339148	64.16	1
66	100	420	10	10	210	210	250	0.01059	8.339148	64.16	1
69	80	300	8	8	150	150	100	0.01088	12.8875	6.78	1
70	30	80	4	4	40	40	45	0.04592	15.47077	74.33	1
72	10	30	1	1	15	15	40	0.06966	26.24382	31.67	1
73	5	30	1	1	15	15	40	0.06966	26.24382	31.67	1
74	5	20	1	1	10	10	30	0.0283	37.69679	17.95	1
76	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
77	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
80	150	300	8	8	150	150	440	0.01088	12.8875	6.78	1
85	10	30	1	1	15	15	40	0.06966	26.24382	31.67	1
87	100	300	8	8	150	150	440	0.003	10.76	32.96	1
89	50	200	8	8	100	100	400	0.01088	12.8875	6.78	1
90	8	20	1	1	10	10	30	0.0283	37.69679	17.95	1
91	20	50	1	1	25	25	45	0.00977	22.94226	58.81	1
92	100	300	8	8	150	150	100	0.01088	12.8875	6.78	1
99	100	300	8	8	150	150	100	0.01088	12.8875	6.78	1
100	100	300	8	8	150	150	110	0.01088	12.8875	6.78	1
103	8	20	1	1	10	10	30	0.0283	37.69679	17.95	1
104	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
105	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
107	8	20	1	1	10	10	30	0.0283	37.69679	17.95	1
110	25	50	2	2	25	25	45	0.00977	22.94226	58.81	1
111	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
112	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
113	25	100	5	5	50	50	50	0.0128	17.82	10.15	1
116	25	50	2	2	25	25	45	0.00977	22.94226	58.81	1
